STRASSE,ADRESS_ID,STRASSE_HS,PLZ,STADTTEIL,WL_2024
Thann,"331440009",Thann 9,"94036",Heining,C
Thann,"331440007",Thann 7,"94036",Heining,C
Thann,"331440011",Thann 11,"94036",Heining,C
Thann,"331440013",Thann 13,"94036",Heining,C
Thann,"331440008",Thann 8,"94036",Heining,C
Hans-Hösl-Straße,"331450001",Hans-Hösl-Straße 1,"94036",Heining,C
Thann,"331440005",Thann 5,"94036",Heining,C
Thann,"331440003",Thann 3,"94036",Heining,C
Thann,"331440001",Thann 1,"94036",Heining,C
Gustav-Haydn-Straße,"304770011",Gustav-Haydn-Straße 11,"94036",Heining,C
Max-Peinkofer-Straße,"330910024",Max-Peinkofer-Straße 24,"94036",Neustift,C
Max-Peinkofer-Straße,"330910018",Max-Peinkofer-Straße 18,"94036",Neustift,C
Hans-Hösl-Straße,"331450028",Hans-Hösl-Straße 28,"94036",Heining,C
Hans-Hösl-Straße,"331450030",Hans-Hösl-Straße 30,"94036",Heining,C
Hans-Hösl-Straße,"331450026",Hans-Hösl-Straße 26,"94036",Heining,C
Hans-Hösl-Straße,"331450022",Hans-Hösl-Straße 22,"94036",Heining,C
Hans-Hösl-Straße,"331450024",Hans-Hösl-Straße 24,"94036",Heining,C
Hunostraße,"305120032",Hunostraße 32,"94036",Heining,C
Schaldinger Straße,307080010A,Schaldinger Straße 10A,"94036",Schalding r.d.D.,C
Hans-Hösl-Straße,"331450041",Hans-Hösl-Straße 41,"94036",Heining,C
Hans-Hösl-Straße,"331450035",Hans-Hösl-Straße 35,"94036",Heining,C
Hans-Hösl-Straße,"331450039",Hans-Hösl-Straße 39,"94036",Heining,C
Hans-Hösl-Straße,"331450051",Hans-Hösl-Straße 51,"94036",Heining,C
Hans-Hösl-Straße,"331450049",Hans-Hösl-Straße 49,"94036",Heining,C
Hans-Hösl-Straße,"331450047",Hans-Hösl-Straße 47,"94036",Heining,C
Hans-Hösl-Straße,"331450043",Hans-Hösl-Straße 43,"94036",Heining,C
Hans-Hösl-Straße,"331450045",Hans-Hösl-Straße 45,"94036",Heining,C
Hans-Hösl-Straße,"331450029",Hans-Hösl-Straße 29,"94036",Heining,C
Hans-Hösl-Straße,"331450031",Hans-Hösl-Straße 31,"94036",Heining,C
Hans-Hösl-Straße,"331450033",Hans-Hösl-Straße 33,"94036",Heining,C
Hans-Hösl-Straße,"331450027",Hans-Hösl-Straße 27,"94036",Heining,C
Hans-Hösl-Straße,"331450003",Hans-Hösl-Straße 3,"94036",Heining,C
Hans-Hösl-Straße,"331450004",Hans-Hösl-Straße 4,"94036",Heining,C
Hans-Hösl-Straße,"331450005",Hans-Hösl-Straße 5,"94036",Heining,C
Hans-Hösl-Straße,"331450007",Hans-Hösl-Straße 7,"94036",Heining,C
Hans-Hösl-Straße,"331450008",Hans-Hösl-Straße 8,"94036",Heining,C
Hans-Hösl-Straße,"331450009",Hans-Hösl-Straße 9,"94036",Heining,C
Hans-Hösl-Straße,"331450010",Hans-Hösl-Straße 10,"94036",Heining,C
Hans-Hösl-Straße,"331450012",Hans-Hösl-Straße 12,"94036",Heining,C
Hans-Hösl-Straße,"331450011",Hans-Hösl-Straße 11,"94036",Heining,C
Hans-Hösl-Straße,"331450020",Hans-Hösl-Straße 20,"94036",Heining,C
Hans-Hösl-Straße,"331450018",Hans-Hösl-Straße 18,"94036",Heining,C
Hans-Hösl-Straße,"331450016",Hans-Hösl-Straße 16,"94036",Heining,C
Hans-Hösl-Straße,"331450014",Hans-Hösl-Straße 14,"94036",Heining,C
Hans-Hösl-Straße,"331450023",Hans-Hösl-Straße 23,"94036",Heining,C
Hans-Hösl-Straße,"331450025",Hans-Hösl-Straße 25,"94036",Heining,C
Hans-Hösl-Straße,"331450053",Hans-Hösl-Straße 53,"94036",Heining,C
Hans-Hösl-Straße,"331450019",Hans-Hösl-Straße 19,"94036",Heining,C
Hans-Hösl-Straße,"331450021",Hans-Hösl-Straße 21,"94036",Heining,C
Gärtnerweg,"304430032",Gärtnerweg 32,"94036",Heining,C
Industriestraße,"305140002",Industriestraße 2,"94036",Heining,C
Carossastraße,303800005C,Carossastraße 5C,"94036",Heining,C
Heininger Straße,"304890006",Heininger Straße 6,"94036",Heining,C
