von;bis_unter;  low  ;  med  ;  hi  
25;26; 9,84 ; 11,86 ; 13,88 
26;27; 9,66 ; 11,64 ; 13,61 
27;28; 9,48 ; 11,43 ; 13,37 
28;29; 9,32 ; 11,23 ; 13,14 
29;30; 9,17 ; 11,05 ; 12,93 
30;31; 9,03 ; 10,89 ; 12,74 
31;32; 8,90 ; 10,73 ; 12,55 
32;33; 8,78 ; 10,58 ; 12,38 
33;34; 8,67 ; 10,44 ; 12,22 
34;35; 8,56 ; 10,31 ; 12,06 
35;36; 8,46 ; 10,19 ; 11,92 
36;37; 8,36 ; 10,07 ; 11,79 
37;38; 8,27 ; 9,96 ; 11,66 
38;39; 8,18 ; 9,86 ; 11,54 
39;40; 8,10 ; 9,76 ; 11,42 
40;41; 8,02 ; 9,67 ; 11,31 
41;42; 7,95 ; 9,58 ; 11,21 
42;43; 7,88 ; 9,49 ; 11,11 
43;44; 7,81 ; 9,41 ; 11,01 
44;45; 7,75 ; 9,33 ; 10,92 
45;46; 7,69 ; 9,26 ; 10,83 
46;47; 7,63 ; 9,19 ; 10,75 
47;48; 7,57 ; 9,12 ; 10,67 
48;49; 7,52 ; 9,06 ; 10,60 
49;50; 7,47 ; 9,00 ; 10,52 
50;51; 7,42 ; 8,94 ; 10,45 
51;52; 7,37 ; 8,88 ; 10,39 
52;53; 7,32 ; 8,82 ; 10,32 
53;54; 7,28 ; 8,77 ; 10,26 
54;55; 7,24 ; 8,72 ; 10,20 
55;56; 7,20 ; 8,67 ; 10,14 
56;57; 7,16 ; 8,62 ; 10,09 
57;59; 7,10 ; 8,55 ; 10,01 
59;61; 7,03 ; 8,47 ; 9,91 
61;64; 6,95 ; 8,37 ; 9,79 
64;67; 6,86 ; 8,26 ; 9,67 
67;70; 6,77 ; 8,16 ; 9,55 
70;77; 6,65 ; 8,01 ; 9,38 
77;81; 6,53 ; 7,86 ; 9,20 
81;87; 6,44 ; 7,76 ; 9,08 
87;93; 6,35 ; 7,65 ; 8,94 
93;100; 6,25 ; 7,53 ; 8,82 
100;108; 6,16 ; 7,42 ; 8,69 
108;120; 6,06 ; 7,30 ; 8,54 
120;132; 5,96 ; 7,18 ; 8,40 
132;141; 5,88 ; 7,09 ; 8,29 
141;150; 5,82 ; 7,02 ; 8,21 
